Date,Open,High,Low,Close,Volume,Range,MA50,MA200,Month,Day_of_Week,Prev_Close
2004-06-22,65.43285489330604,65.61874368561658,63.573966970200765,63.927154541015625,20064,2.0447767154158143,54.20831455230713,38.533713512420654,6,1,65.45140075683594
2004-06-23,64.59633425367238,65.06105608283549,61.58493453154587,62.68168258666992,22912,3.476121551289623,54.83717601776123,38.701524543762204,6,2,63.927154541015625
2004-06-24,63.19289302413975,64.31751787388264,61.919553746685786,63.72267150878906,21592,2.3979641271968504,55.496151809692385,38.88457851409912,6,3,62.68168258666992
2004-06-25,63.20218519398872,65.06107299381192,63.20218519398872,63.72267150878906,60280,1.8588877998232007,56.147134399414064,39.06763248443603,6,4,63.72267150878906
2004-06-28,64.83801111969426,67.84941194646873,64.83801111969426,66.80843353271484,100536,3.0114008267744765,56.859832229614256,39.266440591812135,6,0,63.72267150878906
2004-06-29,67.8493991127973,68.01669786644565,65.52578955413986,66.35299682617188,47952,2.490908312305791,57.565280227661134,39.46631752967834,6,1,66.80843353271484
2004-06-30,66.17640454311426,67.10584842714675,64.68929432866224,64.87518310546875,20576,2.416554098484511,58.24117195129394,39.65513405799866,6,2,66.35299682617188
2004-07-01,65.79528872917071,66.14847602311472,65.07961630523047,65.69304656982422,15168,1.0688597178842514,58.93472217559815,39.84139447212219,7,3,64.87518310546875
2004-07-02,66.54816992154124,69.15061232070767,66.54816992154124,67.98880767822266,123232,2.6024423991664207,59.65913066864014,40.03299926757813,7,4,65.69304656982422
2004-07-05,67.66350955774288,68.12823146404607,65.24695564496635,65.71167755126953,22040,2.8812758190797183,60.337996559143065,40.204295835494996,7,0,67.98880767822266
2004-07-06,65.5350563214357,66.91992935076024,65.5350563214357,66.33438110351562,39312,1.3848730293245382,61.04623245239258,40.3792635345459,7,1,65.71167755126953
2004-07-07,66.91994480600276,67.47761101271945,65.06105745028046,65.51648712158203,39640,2.4165535624389918,61.74703311920166,40.55404543876648,7,2,66.33438110351562
2004-07-08,65.06106519946162,66.94783495567107,62.26344166503465,62.78392791748047,80424,4.684393290636422,62.39597095489502,40.71502505302429,7,3,65.51648712158203
2004-07-09,58.57353918999467,64.13161100958385,58.04375518186249,63.66688919067383,29280,6.087855827721363,63.06833038330078,40.88041947364807,7,4,62.78392791748047
2004-07-12,64.13161849952449,65.59084631590017,63.20217475315458,64.912353515625,22272,2.3886715627455857,63.76913101196289,41.041213254928586,7,0,63.66688919067383
2004-07-13,65.99980725724838,67.10584773702251,65.43284876296933,65.68379974365234,48160,1.6729989740531863,64.51194286346436,41.204191312789916,7,1,64.912353515625
2004-07-14,66.91065958256574,68.77883929980243,66.08345235426962,67.37538146972656,74376,2.6953869455328032,65.2885863494873,41.38338807106018,7,2,65.68379974365234
2004-07-15,68.22116237894421,68.36987109045728,67.33819093126034,67.58914184570312,36024,1.031680159196938,64.91699485778808,41.56021471977234,7,3,67.37538146972656
2004-07-16,69.68968347530236,71.00949458781825,68.79741984387196,69.87557220458984,167704,2.212074743946289,64.65154594421386,41.74944943428039,7,4,67.58914184570312
2004-07-19,70.82360095913074,72.27353067812106,69.70826866056176,70.94442749023438,174480,2.5652620175593057,64.41825553894043,41.94997685432434,7,0,69.87557220458984
2004-07-20,71.38128768086817,73.05428661088851,70.4704338424321,72.2642593383789,157816,2.58385276845641,64.29742835998535,42.15910171508789,7,1,70.94442749023438
2004-07-21,74.178902722609,74.178902722609,71.00950183398533,71.62293243408203,129968,3.16940088862367,64.26582710266113,42.365019941329955,7,2,72.2642593383789
2004-07-22,72.49663215863345,72.49663215863345,71.01881392624936,71.25117492675781,64272,1.477818232384081,64.26582710266113,42.56522217750549,7,3,71.62293243408203
